iter	MultiClass
0	1.056010788
25	0.794735342
50	0.753078921
75	0.7302230702
100	0.712334967
125	0.694443007
150	0.6794741869
175	0.6664640454
200	0.6555249564
225	0.6439255754
250	0.6336741382
275	0.625378677
300	0.6159710666
325	0.6077249445
350	0.5989135707
375	0.591203797
400	0.5840846253
425	0.5768908212
450	0.5697709293
475	0.5627215573
500	0.5563178648
525	0.5497178994
550	0.5436505881
575	0.537257819
600	0.5311903134
625	0.5256021691
650	0.5200575754
675	0.5140680578
700	0.508197789
725	0.5027461513
750	0.4974924758
775	0.4925848067
800	0.4872512235
825	0.4816837929
850	0.4769589531
875	0.4717140039
900	0.4667394064
925	0.4621230879
950	0.4575810526
975	0.4530113737
999	0.448650893
