iter	Passed	Remaining
0	144	143863
1	147	73506
2	150	50008
3	153	38285
4	157	31316
5	160	26616
6	163	23256
7	167	20742
8	170	18768
9	174	17321
10	179	16107
11	182	15023
12	185	14085
13	188	13294
14	192	12612
15	195	11997
16	198	11468
17	201	10997
18	204	10568
19	207	10165
20	210	9821
21	213	9506
22	217	9225
23	220	8958
24	223	8714
25	226	8489
26	229	8285
27	233	8092
28	235	7898
29	239	7729
30	242	7576
31	246	7451
32	249	7316
33	253	7191
34	256	7070
35	259	6955
36	263	6846
37	266	6747
38	269	6653
39	273	6559
40	278	6509
41	281	6420
42	284	6341
43	288	6265
44	292	6199
45	295	6132
46	299	6064
47	302	6000
48	306	5957
49	310	5892
50	313	5827
51	316	5772
