name,satellite,label,id
EPIC 201257461,K2,non_planet,
EPIC 201257461,K2,non_planet,
EPIC 201324549,K2,non_planet,
EPIC 201324549,K2,non_planet,
EPIC 201324549,K2,non_planet,
EPIC 201324549,K2,non_planet,
EPIC 201324549,K2,non_planet,
EPIC 201555883,K2,non_planet,
EPIC 201569483,K2,non_planet,
EPIC 201569483,K2,non_planet,
EPIC 201649426,K2,non_planet,
EPIC 201649426,K2,non_planet,
EPIC 201779067,K2,non_planet,
EPIC 201779067,K2,non_planet,
EPIC 201779067,K2,non_planet,
EPIC 201779067,K2,non_planet,
EPIC 201928106,K2,non_planet,
EPIC 201929294,K2,non_planet,
EPIC 202059377,K2,non_planet,
EPIC 202059377,K2,non_planet,
EPIC 202071645,K2,non_planet,
EPIC 202126887,K2,non_planet,
EPIC 202126887,K2,non_planet,
EPIC 202126887,K2,non_planet,
EPIC 202126888,K2,non_planet,
EPIC 202126888,K2,non_planet,
EPIC 202963882,K2,non_planet,
EPIC 203476597,K2,non_planet,
EPIC 203485624,K2,non_planet,
EPIC 203581469,K2,non_planet,
EPIC 203692610,K2,non_planet,
EPIC 203710387,K2,non_planet,
EPIC 203710387,K2,non_planet,
EPIC 203710387,K2,non_planet,
EPIC 203823381,K2,non_planet,
EPIC 203823381,K2,non_planet,
EPIC 203823381,K2,non_planet,
EPIC 203849738,K2,non_planet,
EPIC 203868608,K2,non_planet,
EPIC 204043888,K2,non_planet,
EPIC 204143627,K2,non_planet,
EPIC 204165788,K2,non_planet,
EPIC 204364515,K2,non_planet,
EPIC 204432860,K2,non_planet,
EPIC 204506777,K2,non_planet,
EPIC 204760247,K2,non_planet,
EPIC 204873331,K2,non_planet,
EPIC 204873331,K2,non_planet,
EPIC 204882444,K2,non_planet,
EPIC 205046529,K2,non_planet,
EPIC 205064326,K2,non_planet,
EPIC 205064326,K2,non_planet,
EPIC 205064326,K2,non_planet,
EPIC 205064326,K2,non_planet,
EPIC 205148699,K2,non_planet,
EPIC 205148699,K2,non_planet,
EPIC 205148699,K2,non_planet,
EPIC 205148699,K2,non_planet,
EPIC 205483258,K2,non_planet,
EPIC 205703094,K2,non_planet,
EPIC 205979483,K2,non_planet,
EPIC 205990339,K2,non_planet,
EPIC 205990339,K2,non_planet,
EPIC 206065006,K2,non_planet,
EPIC 206267115,K2,non_planet,
EPIC 207517400,K2,non_planet,
EPIC 210401157,K2,non_planet,
EPIC 210401157,K2,non_planet,
EPIC 210414957,K2,non_planet,
EPIC 210414957,K2,non_planet,
EPIC 210414957,K2,non_planet,
EPIC 210513446,K2,non_planet,
EPIC 210513446,K2,non_planet,
EPIC 210744674,K2,non_planet,
EPIC 210744674,K2,non_planet,
EPIC 210744674,K2,non_planet,
EPIC 210754505,K2,non_planet,
EPIC 210754505,K2,non_planet,
EPIC 210754505,K2,non_planet,
EPIC 210754505,K2,non_planet,
EPIC 210789323,K2,non_planet,
EPIC 210827030,K2,non_planet,
EPIC 210954046,K2,non_planet,
EPIC 211082420,K2,non_planet,
EPIC 211093684,K2,non_planet,
EPIC 211397774,K2,non_planet,
EPIC 211402878,K2,non_planet,
EPIC 211408138,K2,non_planet,
EPIC 211409299,K2,non_planet,
EPIC 211411891,K2,non_planet,
EPIC 211422822,K2,non_planet,
EPIC 211425822,K2,non_planet,
EPIC 211429934,K2,non_planet,
EPIC 211430148,K2,non_planet,
EPIC 211431013,K2,non_planet,
EPIC 211432167,K2,non_planet,
EPIC 211432176,K2,non_planet,
EPIC 211432946,K2,non_planet,
EPIC 211449931,K2,non_planet,
EPIC 211452175,K2,non_planet,
EPIC 211453076,K2,non_planet,
EPIC 211453223,K2,non_planet,
EPIC 211468153,K2,non_planet,
EPIC 211471048,K2,non_planet,
EPIC 211477347,K2,non_planet,
EPIC 211490299,K2,non_planet,
EPIC 211492541,K2,non_planet,
EPIC 211493669,K2,non_planet,
EPIC 211509665,K2,non_planet,
EPIC 211524114,K2,non_planet,
EPIC 211524558,K2,non_planet,
EPIC 211526186,K2,non_planet,
EPIC 211534342,K2,non_planet,
EPIC 211535481,K2,non_planet,
EPIC 211538193,K2,non_planet,
EPIC 211540348,K2,non_planet,
EPIC 211563123,K2,non_planet,
EPIC 211572480,K2,non_planet,
EPIC 211589784,K2,non_planet,
EPIC 211600389,K2,non_planet,
EPIC 211600632,K2,non_planet,
EPIC 211604981,K2,non_planet,
EPIC 211607670,K2,non_planet,
EPIC 211607804,K2,non_planet,
EPIC 211613886,K2,non_planet,
EPIC 211613886,K2,non_planet,
EPIC 211619120,K2,non_planet,
EPIC 211621644,K2,non_planet,
EPIC 211621961,K2,non_planet,
EPIC 211625003,K2,non_planet,
EPIC 211626490,K2,non_planet,
EPIC 211630537,K2,non_planet,
EPIC 211631904,K2,non_planet,
EPIC 211638883,K2,non_planet,
EPIC 211639283,K2,non_planet,
EPIC 211644647,K2,non_planet,
EPIC 211651743,K2,non_planet,
EPIC 211662047,K2,non_planet,
EPIC 211663508,K2,non_planet,
EPIC 211664543,K2,non_planet,
EPIC 211705502,K2,non_planet,
EPIC 211705502,K2,non_planet,
EPIC 211705502,K2,non_planet,
EPIC 211705654,K2,non_planet,
EPIC 211710534,K2,non_planet,
EPIC 211718105,K2,non_planet,
EPIC 211721325,K2,non_planet,
EPIC 211732801,K2,non_planet,
EPIC 211737652,K2,non_planet,
EPIC 211738534,K2,non_planet,
EPIC 211744153,K2,non_planet,
EPIC 211750072,K2,non_planet,
EPIC 211759163,K2,non_planet,
EPIC 211764271,K2,non_planet,
EPIC 211764373,K2,non_planet,
EPIC 211768007,K2,non_planet,
EPIC 211770390,K2,non_planet,
EPIC 211804579,K2,non_planet,
EPIC 211804579,K2,non_planet,
EPIC 211804579,K2,non_planet,
EPIC 211807456,K2,non_planet,
EPIC 211809568,K2,non_planet,
EPIC 211812160,K2,non_planet,
EPIC 211814733,K2,non_planet,
EPIC 211814733,K2,non_planet,
EPIC 211822953,K2,non_planet,
EPIC 211828142,K2,non_planet,
EPIC 211829982,K2,non_planet,
EPIC 211831378,K2,non_planet,
EPIC 211838158,K2,non_planet,
EPIC 211839430,K2,non_planet,
EPIC 211839462,K2,non_planet,
EPIC 211841496,K2,non_planet,
EPIC 211852187,K2,non_planet,
EPIC 211858408,K2,non_planet,
EPIC 211858489,K2,non_planet,
EPIC 211885185,K2,non_planet,
EPIC 211906940,K2,non_planet,
EPIC 211910237,K2,non_planet,
EPIC 211914718,K2,non_planet,
EPIC 211915147,K2,non_planet,
EPIC 211919555,K2,non_planet,
EPIC 211919842,K2,non_planet,
EPIC 211920462,K2,non_planet,
EPIC 211920528,K2,non_planet,
EPIC 211920604,K2,non_planet,
EPIC 211920811,K2,non_planet,
EPIC 211928959,K2,non_planet,
EPIC 211934173,K2,non_planet,
EPIC 211942157,K2,non_planet,
EPIC 211946007,K2,non_planet,
EPIC 211946007,K2,non_planet,
EPIC 211946007,K2,non_planet,
EPIC 211955798,K2,non_planet,
EPIC 211964001,K2,non_planet,
EPIC 211964025,K2,non_planet,
EPIC 211964555,K2,non_planet,
EPIC 211970234,K2,non_planet,
EPIC 211972086,K2,non_planet,
EPIC 211972837,K2,non_planet,
EPIC 212002525,K2,non_planet,
EPIC 212009427,K2,non_planet,
EPIC 212009427,K2,non_planet,
EPIC 212009702,K2,non_planet,
EPIC 212010565,K2,non_planet,
EPIC 212012387,K2,non_planet,
EPIC 212019055,K2,non_planet,
EPIC 212020442,K2,non_planet,
EPIC 212024647,K2,non_planet,
EPIC 212026226,K2,non_planet,
EPIC 212037403,K2,non_planet,
EPIC 212039539,K2,non_planet,
EPIC 212044495,K2,non_planet,
EPIC 212048503,K2,non_planet,
EPIC 212053988,K2,non_planet,
EPIC 212060710,K2,non_planet,
EPIC 212060895,K2,non_planet,
EPIC 212066805,K2,non_planet,
EPIC 212069706,K2,non_planet,
EPIC 212071939,K2,non_planet,
EPIC 212075294,K2,non_planet,
EPIC 212075842,K2,non_planet,
EPIC 212082682,K2,non_planet,
EPIC 212083250,K2,non_planet,
EPIC 212083455,K2,non_planet,
EPIC 212085654,K2,non_planet,
EPIC 212085740,K2,non_planet,
EPIC 212086717,K2,non_planet,
EPIC 212109233,K2,non_planet,
EPIC 212110007,K2,non_planet,
EPIC 212110007,K2,non_planet,
EPIC 212115388,K2,non_planet,
EPIC 212116340,K2,non_planet,
EPIC 212117087,K2,non_planet,
EPIC 212154158,K2,non_planet,
EPIC 212163353,K2,non_planet,
EPIC 212171851,K2,non_planet,
EPIC 212175087,K2,non_planet,
EPIC 212181307,K2,non_planet,
EPIC 212181460,K2,non_planet,
EPIC 212182233,K2,non_planet,
EPIC 212207194,K2,non_planet,
EPIC 212208163,K2,non_planet,
EPIC 212210390,K2,non_planet,
EPIC 212214592,K2,non_planet,
EPIC 212221986,K2,non_planet,
EPIC 212225413,K2,non_planet,
EPIC 212225806,K2,non_planet,
EPIC 212225986,K2,non_planet,
EPIC 212228588,K2,non_planet,
EPIC 212572452,K2,non_planet,
EPIC 212572452,K2,non_planet,
EPIC 212628098,K2,non_planet,
EPIC 212628098,K2,non_planet,
EPIC 212679798,K2,non_planet,
EPIC 212773272,K2,non_planet,
EPIC 212773272,K2,non_planet,
EPIC 212773309,K2,non_planet,
EPIC 213951550,K2,non_planet,
EPIC 213951550,K2,non_planet,
EPIC 220356827,K2,non_planet,
EPIC 220471100,K2,non_planet,
EPIC 228682364,K2,non_planet,
EPIC 228729473,K2,non_planet,
EPIC 228729473,K2,non_planet,
EPIC 246022853,K2,non_planet,
EPIC 246048459,K2,non_planet,
EPIC 246163416,K2,non_planet,
