Unnamed: 0,name,label,planet_radii,transit_depth,days,star_radii,earth_flux,star_temp
0,KIC 10797460,2,2.26,615.8,9.48803557,0.927,93.59,5455.0
1,KIC 10797460,2,2.83,874.8,54.4183827,0.927,9.11,5455.0
2,KIC 10811496,1,14.6,10829.0,19.89913995,0.868,39.3,5853.0
3,KIC 10848459,0,33.46,8079.2,1.736952453,0.791,891.96,5805.0
4,KIC 10854555,2,2.75,603.3,2.525591777,1.046,926.16,6031.0
5,KIC 10872983,2,3.9,1517.5,11.09432054,0.972,114.81,6046.0
6,KIC 10872983,2,2.77,686.0,4.13443512,0.972,427.65,6046.0
7,KIC 10872983,2,1.59,226.5,2.56658897,0.972,807.74,6046.0
8,KIC 6721123,0,39.21,233.7,7.36178958,1.958,767.22,6227.0
9,KIC 10910878,2,5.76,4914.3,16.06864674,0.848,30.75,5031.0
10,KIC 11446443,2,13.04,14231.0,2.470613377,0.964,761.46,5820.0
11,KIC 10666592,2,16.1,6674.7,2.204735417,1.952,4148.92,6440.0
12,KIC 6922244,2,14.59,9145.7,3.522498429,1.451,1264.67,6225.0
13,KIC 10984090,2,1.16,131.1,3.709214104,1.022,500.46,5833.0
14,KIC 10419211,0,150.51,17984.0,11.521446064,0.848,75.88,5795.0
15,KIC 10464078,0,7.18,8918.7,19.40393776,0.68,17.69,5043.0
16,KIC 10480982,0,49.29,74284.0,19.221388942,0.947,55.97,6117.0
17,KIC 10485250,0,7.94,10479.0,16.46983774,0.786,29.61,5152.0
18,KIC 10526549,2,2.47,1288.3,9.27358173,0.696,41.85,4856.0
19,KIC 10583066,2,2.85,1912.7,6.02930329,0.672,50.04,4537.0
20,KIC 10583180,0,1.58,397.9,2.696370652,0.819,305.34,4989.0
21,KIC 10601284,2,2.55,831.0,5.349553819,0.91,168.99,5185.0
22,KIC 10601284,2,1.7,363.3,3.94105221,0.91,253.15,5185.0
23,KIC 10601284,2,1.3,217.4,8.10904807,0.91,97.03,5185.0
24,KIC 2306756,0,41.5,24927.0,386.6030528,1.58,1.84,5543.0
25,KIC 10662202,2,2.95,857.2,21.67699193,0.828,18.64,4954.0
26,KIC 10682541,2,2.78,934.7,4.99677968,0.847,166.95,5339.0
27,KIC 11460018,2,2.3,750.8,4.280963604,0.831,247.87,5644.0
28,KIC 11463211,0,4.53,2211.7,1.50635409,0.831,1054.12,5714.0
29,KIC 11465813,0,14.14,18091.0,670.645531,0.983,0.35,5520.0
30,KIC 11493732,0,39.87,5123.3,61.2563628,1.091,15.43,6144.0
31,KIC 11507101,2,2.82,724.2,38.3775486,1.036,18.53,5481.0
32,KIC 10910878,2,3.86,2213.9,41.19725502,0.848,8.76,5031.0
33,KIC 10910878,2,2.65,1036.9,6.252962249,0.848,108.3,5031.0
34,KIC 10987985,2,3.1,1121.9,16.01308419,0.826,29.31,5015.0
35,KIC 11018648,2,3.36,1804.8,32.62876672,0.798,15.55,5586.0
36,KIC 11018648,2,2.12,652.0,91.7732862,0.798,3.92,5586.0
37,KIC 11138155,2,12.21,9802.0,4.959319244,1.082,349.4,5712.0
38,KIC 11152159,0,6.54,860.4,2.701287801,0.91,527.81,5550.0
39,KIC 11153539,2,2.1,460.0,4.49876511,0.969,389.62,6075.0
40,KIC 11242721,0,12.42,11766.0,19.651209505,1.063,67.03,6074.0
